43.popped	32
43.head	1
43.len	5
43.front	42
43.back	33
44.r	2
44.popped	42
44.head	2
44.len	4
44.front	36
44.back	33
45.r	0
45.popped	none
45.head	2
45.len	5
45.front	36
45.back	45
46.r	0
46.popped	none
46.head	2
46.len	6
46.front	36
46.back	46
47.r	3
47.popped	46
47.head	2
47.len	5
47.front	36
47.back	45
48.r	0
48.popped	none
48.head	2
48.len	6
48.front	36
48.back	48
49.r	2
49.popped	36
49.head	3
49.len	5
49.front	35
49.back	48
50.r	0
50.popped	none
50.head	3
50.len	6
50.front	35
50.back	50
51.r	1
51.popped	none
51.head	2
51.len	7
51.front	51
51.back	50
52.r	2
52.popped	51
52.head	3
52.len	6
52.front	35
52.back	50
53.r	2
53.popped	35
53.head	4
53.len	5
53.front	34
53.back	50
54.r	3
54.popped	50
54.head	4
54.len	4
54.front	34
54.back	48
55.r	1
55.popped	none
55.head	3
55.len	5
55.front	55
55.back	48
56.r	0
56.popped	none
56.head	3
56.len	6
56.front	55
56.back	56
57.r	2
57.popped	55
57.head	4
57.len	5
57.front	34
57.back	56
58.r	2
58.popped	34
58.head	5
58.len	4
58.front	33
58.back	56
59.r	1
59.popped	none
59.head	4
59.len	5
59.front	59
59.back	56
60.r	2
60.popped	59
60.head	5
60.len	4
60.front	33
60.back	56
61.r	0
61.popped	none
61.head	5
61.len	5
61.front	33
61.back	61
62.r	3
62.popped	61
62.head	5
62.len	4
62.front	33
62.back	56
63.r	1
63.popped	none
63.head	4
63.len	5
63.front	63
63.back	56
64.r	0
64.popped	none
64.head	4
64.len	6
64.front	63
64.back	64
65.r	0
65.popped	none
65.head	4
65.len	7
65.front	63
65.back	65
66.r	0
66.popped	none
66.head	4
66.len	8
66.front	63
66.back	66
67.r	1
67.popped	none
67.head	4
67.len	8
67.front	63
67.back	66
68.r	3
68.popped	66
68.head	4
68.len	7
68.front	63
68.back	65
69.r	2
69.popped	63
69.head	5
69.len	6
69.front	33
69.back	65
70.r	2
70.popped	33
70.head	6
70.len	5
70.front	45
70.back	65
71.r	3
71.popped	65
71.head	6
71.len	4
71.front	45
71.back	64
72.r	0
72.popped	none
72.head	6
72.len	5
72.front	45
72.back	72
73.r	2
73.popped	45
73.head	7
73.len	4
73.front	48
73.back	72
74.r	3
74.popped	72
74.head	7
74.len	3
74.front	48
74.back	64
75.r	3
75.popped	64
75.head	7
75.len	2
75.front	48
75.back	56
76.r	1
76.popped	none
76.head	6
76.len	3
76.front	76
76.back	56
77.r	3
77.popped	56
77.head	6
77.len	2
77.front	76
77.back	48
78.r	1
78.popped	none
78.head	5
78.len	3
78.front	78
78.back	48
79.r	0
79.popped	none
79.head	5
79.len	4
79.front	78
79.back	79
80.r	3
80.popped	79
80.head	5
80.len	3
80.front	78
80.back	48
81.r	2
81.popped	78
81.head	6
81.len	2
81.front	76
81.back	48
82.r	0
82.popped	none
82.head	6
82.len	3
82.front	76
82.back	82
83.r	1
83.popped	none
83.head	5
83.len	4
83.front	83
83.back	82
84.r	0
84.popped	none
84.head	5
84.len	5
84.front	83
84.back	84
85.r	2
85.popped	83
85.head	6
85.len	4
85.front	76
85.back	84
86.r	0
86.popped	none
86.head	6
86.len	5
86.front	76
86.back	86
87.r	2
87.popped	76
87.head	7
87.len	4
87.front	48
87.back	86
88.r	2
88.popped	48
88.head	0
88.len	3
88.front	82
88.back	86
89.r	3
89.popped	86
89.head	0
89.len	2
89.front	82
89.back	84
90.r	1
90.popped	none
90.head	7
90.len	3
90.front	90
90.back	84
91.r	3
91.popped	84
91.head	7
91.len	2
91.front	90
91.back	82
92.r	3
92.popped	82
92.head	7
92.len	1
92.front	90
92.back	90
93.r	1
93.popped	none
93.head	6
93.len	2
93.front	93
93.back	90
94.r	1
94.popped	none
94.head	5
94.len	3
94.front	94
94.back	90
95.r	1
95.popped	none
95.head	4
95.len	4
95.front	95
95.back	90
96.r	0
96.popped	none
96.head	4
96.len	5
96.front	95
96.back	96
97.r	0
97.popped	none
97.head	4
97.len	6
97.front	95
97.back	97
98.r	3
98.popped	97
98.head	4
98.len	5
98.front	95
98.back	96
99.r	2
99.popped	95
99.head	5
99.len	4
99.front	94
99.back	96
100.r	3
100.popped	96
100.head	5
100.len	3
100.front	94
100.back	90
101.r	3
101.popped	90
101.head	5
101.len	2
101.front	94
101.back	93
102.r	0
102.popped	none
102.head	5
102.len	3
102.front	94
102.back	102
103.r	1
103.popped	none
103.head	4
103.len	4
103.front	103
103.back	102
104.r	2
104.popped	103
104.head	5
104.len	3
104.front	94
104.back	102
105.r	3
105.popped	102
105.head	5
105.len	2
105.front	94
105.back	93
106.r	1
106.popped	none
106.head	4
106.len	3
106.front	106
106.back	93
107.r	1
107.popped	none
107.head	3
107.len	4
107.front	107
107.back	93
108.r	0
108.popped	none
108.head	3
108.len	5
108.front	107
108.back	108
109.r	1
109.popped	none
109.head	2
109.len	6
109.front	109
109.back	108
110.r	1
110.popped	none
110.head	1
110.len	7
110.front	110
110.back	108
111.r	2
111.popped	110
111.head	2
111.len	6
111.front	109
111.back	108
112.r	1
112.popped	none
112.head	1
112.len	7
112.front	112
112.back	108
113.r	1
113.popped	none
113.head	0
113.len	8
113.front	113
113.back	108
114.r	2
114.popped	113
114.head	1
114.len	7
114.front	112
114.back	108
115.r	1
115.popped	none
115.head	0
115.len	8
115.front	115
115.back	108
116.r	2
116.popped	115
116.head	1
116.len	7
116.front	112
116.back	108
117.r	0
117.popped	none
117.head	1
117.len	8
117.front	112
117.back	117
118.r	2
118.popped	112
118.head	2
118.len	7
118.front	109
118.back	117
119.r	1
119.popped	none
119.head	1
119.len	8
119.front	119
119.back	117
120.r	0
120.popped	none
120.head	1
120.len	8
120.front	119
120.back	117
121.r	2
121.popped	119
121.head	2
121.len	7
121.front	109
121.back	117
122.r	1
122.popped	none
122.head	1
122.len	8
122.front	122
122.back	117
123.r	1
123.popped	none
123.head	1
123.len	8
123.front	122
123.back	117
124.r	1
124.popped	none
124.head	1
124.len	8
124.front	122
124.back	117
125.r	3
125.popped	117
125.head	1
125.len	7
125.front	122
125.back	108
126.r	3
126.popped	108
126.head	1
126.len	6
126.front	122
126.back	93
127.r	1
127.popped	none
127.head	0
127.len	7
127.front	127
127.back	93
128.r	0
128.popped	none
128.head	0
128.len	8
128.front	127
128.back	128
129.r	0
129.popped	none
129.head	0
129.len	8
129.front	127
129.back	128
130.r	0
130.popped	none
130.head	0
130.len	8
130.front	127
130.back	128
131.r	3
131.popped	128
131.head	0
131.len	7
131.front	127
131.back	93
132.r	1
132.popped	none
132.head	7
132.len	8
132.front	132
132.back	93
133.r	0
133.popped	none
133.head	7
133.len	8
133.front	132
133.back	93
134.r	3
134.popped	93
134.head	7
134.len	7
134.front	132
134.back	94
135.r	0
135.popped	none
135.head	7
135.len	8
135.front	132
135.back	135
136.r	1
136.popped	none
136.head	7
136.len	8
136.front	132
136.back	135
137.r	3
137.popped	135
137.head	7
137.len	7
137.front	132
137.back	94
138.r	2
138.popped	132
138.head	0
138.len	6
138.front	127
138.back	94
139.r	1
139.popped	none
139.head	7
139.len	7
139.front	139
139.back	94
140.r	3
140.popped	94
140.head	7
140.len	6
140.front	139
140.back	106
141.r	0
141.popped	none
141.head	7
141.len	7
141.front	139
141.back	141
142.r	2
142.popped	139
142.head	0
142.len	6
142.front	127
142.back	141
143.r	0
143.popped	none
143.head	0
143.len	7
143.front	127
143.back	143
144.r	1
144.popped	none
144.head	7
144.len	8
144.front	144
144.back	143
145.r	1
145.popped	none
145.head	7
145.len	8
145.front	144
145.back	143
146.r	2
146.popped	144
146.head	0
146.len	7
146.front	127
146.back	143
147.r	1
147.popped	none
147.head	7
147.len	8
147.front	147
147.back	143
148.r	2
148.popped	147
148.head	0
148.len	7
148.front	127
148.back	143
149.r	3
149.popped	143
149.head	0
149.len	6
149.front	127
149.back	141
150.r	2
150.popped	127
150.head	1
150.len	5
150.front	122
150.back	141
151.r	3
151.popped	141
151.head	1
151.len	4
151.front	122
151.back	106
152.r	3
152.popped	106
152.head	1
152.len	3
152.front	122
152.back	107
153.r	0
153.popped	none
153.head	1
153.len	4
153.front	122
153.back	153
154.r	0
154.popped	none
154.head	1
154.len	5
154.front	122
154.back	154
155.r	1
155.popped	none
155.head	0
155.len	6
155.front	155
155.back	154
156.r	0
156.popped	none
156.head	0
156.len	7
156.front	155
156.back	156
157.r	1
157.popped	none
157.head	7
157.len	8
157.front	157
157.back	156
158.r	2
158.popped	157
158.head	0
158.len	7
158.front	155
158.back	156
159.r	3
159.popped	156
159.head	0
159.len	6
159.front	155
159.back	154
160.r	1
160.popped	none
160.head	7
160.len	7
160.front	160
160.back	154
161.r	3
161.popped	154
161.head	7
161.len	6
161.front	160
161.back	153
162.r	1
162.popped	none
162.head	6
162.len	7
162.front	162
162.back	153
163.r	3
163.popped	153
163.head	6
163.len	6
163.front	162
163.back	107
164.r	1
164.popped	none
164.head	5
164.len	7
164.front	164
164.back	107
165.r	2
165.popped	164
165.head	6
165.len	6
165.front	162
165.back	107
166.r	0
166.popped	none
166.head	6
166.len	7
166.front	162
166.back	166
167.r	2
167.popped	162
167.head	7
167.len	6
167.front	160
167.back	166
168.r	3
168.popped	166
168.head	7
168.len	5
168.front	160
168.back	107
169.r	3
169.popped	107
169.head	7
169.len	4
169.front	160
169.back	109
170.r	0
170.popped	none
170.head	7
170.len	5
170.front	160
170.back	170
171.r	3
171.popped	170
171.head	7
171.len	4
171.front	160
171.back	109
172.r	1
172.popped	none
172.head	6
172.len	5
172.front	172
172.back	109
173.r	0
173.popped	none
173.head	6
173.len	6
173.front	172
173.back	173
174.r	1
174.popped	none
174.head	5
174.len	7
174.front	174
174.back	173
175.r	2
175.popped	174
175.head	6
175.len	6
175.front	172
175.back	173
176.r	0
176.popped	none
176.head	6
176.len	7
176.front	172
176.back	176
177.r	1
177.popped	none
177.head	5
177.len	8
177.front	177
177.back	176
178.r	0
178.popped	none
178.head	5
178.len	8
178.front	177
178.back	176
179.r	1
179.popped	none
179.head	5
179.len	8
179.front	177
179.back	176
180.r	1
180.popped	none
180.head	5
180.len	8
180.front	177
180.back	176
181.r	0
181.popped	none
181.head	5
181.len	8
181.front	177
181.back	176
182.r	3
182.popped	176
182.head	5
182.len	7
182.front	177
182.back	173
183.r	3
183.popped	173
183.head	5
183.len	6
183.front	177
183.back	109
184.r	1
184.popped	none
184.head	4
184.len	7
184.front	184
184.back	109
185.r	0
185.popped	none
185.head	4
185.len	8
185.front	184
185.back	185
186.r	3
186.popped	185
186.head	4
186.len	7
186.front	184
186.back	109
187.r	2
187.popped	184
187.head	5
187.len	6
187.front	177
187.back	109
188.r	2
188.popped	177
188.head	6
188.len	5
188.front	172
188.back	109
189.r	2
189.popped	172
189.head	7
189.len	4
189.front	160
189.back	109
190.r	2
190.popped	160
190.head	0
190.len	3
190.front	155
190.back	109
191.r	2
191.popped	155
191.head	1
191.len	2
191.front	122
191.back	109
192.r	0
192.popped	none
192.head	1
192.len	3
192.front	122
192.back	192
193.r	0
193.popped	none
193.head	1
193.len	4
193.front	122
193.back	193
194.r	0
194.popped	none
194.head	1
194.len	5
194.front	122
194.back	194
195.r	0
195.popped	none
195.head	1
195.len	6
195.front	122
195.back	195
196.r	1
196.popped	none
196.head	0
196.len	7
196.front	196
196.back	195
197.r	2
197.popped	196
197.head	1
197.len	6
197.front	122
197.back	195
198.r	1
198.popped	none
198.head	0
198.len	7
198.front	198
198.back	195
199.r	3
199.popped	195
199.head	0
199.len	6
199.front	198
199.back	194
